addr_of_building_in_chn,addr_of_building_in_eng,name_of_ocomm_in_chn,name_of_ocomm_in_eng
香港島灣仔區威非路道18號,"Citicorp Centre, NO.18, WHITFIELD ROAD, WAN CHAI, HONG KONG",威非路道18號業主委員會,THE OWNERS COMMITTEE OF CITICORP CENTRE
九龍九龍城區馬頭圍道63號啟岸,"The Vantage, NO.NO.63, MA TAU WAI ROAD, KOWLOON CITY, KOWLOON",啟岸業主委員會,THE OWNERS' COMMITTEE OF THE VANTAGE
新界大埔區優景里63號大學山 翠景閣第6座,"GREENWOOD TOWER 6, SILICON HILL/UNIVERSITY HILL, NO.63, YAU KING LANE, TAI PO, NEW TERRITORIES",Silicon Hill/University Hill 業主委員會,SILICON HILL/UNIVERSITY HILL OWNERS' COMMITTEE
新界屯門區景秀里2號上嵐,"SKYEHI, NO.2, KING SAU LANE, TUEN MUN, NEW TERRITORIES",上嵐業主委員會,OWNERS' COMMITTEE OF SKYEHI
九龍九龍城區沐泰街7號THE HENLEY第1座,"TOWER 1, THE HENLEY, NO.7, MUK TAI STREET, KOWLOON CITY, KOWLOON",THE HENLEY業主委員會,THE OWNERS' COMMITTEE OF THE HENLEY
新界離島區愉景山道28意峰,"IL PICCO, NO.28, DISCOVERY VALLEY ROAD, ISLANDS, NEW TERRITORIES",意峰業主委員會,IL PICCO VILLAGE OWNERS' COMMITTEE
九龍九龍城區延文禮士道16-18號雋睿,"Ayton, NO.16-18, INVERNESS ROAD, KOWLOON CITY, KOWLOON",雋睿業主委員會,THE OWNERS' COMMITTEE OF AYTON
九龍九龍城區喇沙利道6號晟林,"LA SALLE RESIDENCE, NO.6, LA SALLE ROAD, KOWLOON CITY, KOWLOON",晟林業主委員會,THE OWNERS' COMMITTEE OF LA SALLE RESIDENCE
九龍九龍城區廣播道81號尚御第1座,"TOWER 1, MERIDIAN HILL, NO.81, BROADCAST DRIVE, KOWLOON CITY, KOWLOON",尚御業主委員會,THE OWNERS' COMMITTEE OF MERIDIAN HILL
新界屯門區青山公路大欖段170號飛揚3座,"TOWER 3, GRAND JETE, NO.170, CASTLE PEAK ROAD TAI LAM, TUEN MUN, NEW TERRITORIES",飛揚業主委員會,THE OWNERS' COMMITTEE OF GRAND JETE
九龍觀塘區崇信街18號蔚藍東岸5座,"BLOCK 5, MONTEGO BAY, NO.18, SHUNG SHUN STREET, KWUN TONG, KOWLOON",蔚藍東岸業主委員會,THE OWNERS' COMMITTEE OF MONTEGO BAY
新界北區馬適路8號ONE INNOVALE A座,"BLOCK A, ONE INNOVALE, NO.8, MA SIK ROAD, NORTH, NEW TERRITORIES",One Innovale業主委員會,ONE INNOVALE OWNERS' COMMITTEE
香港灣仔區莊士敦道60號嘉薈軒,"J RESIDENCE, NO.60, JOHNSTON ROAD, WAN CHAI, HONG KONG",嘉薈軒業主委員會,THE OWNERS' COMMITTEE OF J RESIDENCE
新界大埔區三門仔路23號比華利山別墅,"THE BEVERLY HILLS, NO.23, SAM MUN TSAI ROAD, TAI PO, NEW TERRITORIES",比華利山別墅業主委員會,THE BEVERLY HILLS OWNERS COMMITTEE
新界沙田區多石街33號瓏珀山KING TOWER 2,"KING TOWER 2, ST MICHEL, NO.33, TO SHEK STREET, SHA TIN, NEW TERRITORIES",瓏珀山業主委員會,OWNERS' COMMITTEE OF ST MICHEL
香港東區西灣河筲箕灣道163號 Island Residence,"Island Residence, NO.163 SHAU KEI WAN ROAD, SAI WAN HO, EASTERN, HONG KONG",,ISLAND RESIDENCE OWNERS' COMMITTEE
香港島東區東貿廣場,"E-Trade Plaza, EASTERN, HONG KONG",東貿廣場業主委員會,E-TRADE PLAZA OWNERS' COMMITTEE
九龍九龍城區嘉道理道24A號ST. GEORGE'S MANSIONS第一座,"TOWER 1, ST. GEORGE'S MANSIONS, 24A KADOORIE AVENUE, KOWLOON CITY, KOWLOON",ST. GEORGE'S MANSIONS業主委員會,THE OWNERS' COMMITTEE OF ST. GEORGE'S MANSIONS
新界元朗區天水圍天恩路1號YOHO WEST第2座,"TOWER 2, YOHO WEST, NO.1, TIN YAN ROAD, TIN SHUI WAI, YUEN LONG, NEW TERRITORIES",YOHO WEST業主委員會,THE YOHO WEST OWNERS' COMMITTEE
香港灣仔區星街8號EIGHT STAR STREET,"EIGHT STAR STREET, NO.8, STAR STREET, WAN CHAI, HONG KONG",星街8號業主委員會,THE OWNERS' COMMITTEE OF EIGHT STAR STREET
九龍九龍城區寶其利街121號城中匯,"Metro 6, NO.121, BULKELEY STREET, KOWLOON CITY, KOWLOON",城中匯業主委員會,OWNERS' COMMITTEE OF METRO6
